L4C0B|270791,41704,14458||||||933000,933748,939630
6VJ8S|151543,26100,23592||||||864600,891808,893466
LK0PL|658560,52199,195918,54770||||||906000,908312,911171,913984
5REBX|5563,3156,95||||||890400,904333,907199
3TSAZ|1302,6638,1762||||||948000,948539,950430
2EPCG|6638,4256,6638||||||890400,905821,911114
LC0B4|6574,6407,153,2006,836||||||882600,891975,897986,909102,911274
EU2GS|315967,3976,81874||||||937200,942324,952036
YKFY8|3657,2576,5969||||||888000,891821,897019
N8XZ4|296142,3976,52069||||||894000,898473,907243
4FG0D|1927,604,1284,67,158||||||865200,880678,889059,904217,917462
OJWF5|159,6145,6571||||||940200,945769,951262
C0F3E|1735,997,2819||||||931200,951986,960661
PSV0F|1862,67,5191||||||865200,875362,893193
2KWJ1|1258,1344,1762,6638||||||935400,934199,942411,946632
YNFJE|8543,3600,3587||||||897600,900597,904548
JMXR9|5919,6718,3549,3557||||||873000,884524,890239,894015
J7HJN|6145,8014,3154,3178||||||939600,945335,945107,969516
XXGM7|69770,296142,3976,63073||||||902400,911330,913709,923377
85HCQ|3082,1478,154,4015||||||877800,877236,894655,899780
LSXU1|29463,44301,4766||||||905400,921513,921909
LRV10|58460,52145,52100,45953||||||949800,949994,954190,960139
CCDMK|2525,154,1125||||||941400,955416,954736
JIPNF|597,715,67||||||879000,886131,905755
P0LZJ|10591,502,3140,153,436||||||892200,899463,903913,923922,936943
9XXKX|5520,2589,3657,3501||||||885600,892733,896133,908473
TBJHB|129,4269,889||||||948600,962759,974178
XVM1L|89929,3976,41704,3976||||||916200,919555,926895,930188
JSPJ0|20842,65,154||||||931200,933496,943241
8KHDU|1125,320,154||||||876000,878730,892323
LGJLP|128,56,495,3671||||||865200,872668,884894,894712
0AMHL|634,1927,12401,909||||||949200,957575,964269,971818
0GAH9|1013,67,215,66||||||895200,903016,911680,935099
7VJ10|1128,215,7697||||||949200,967390,983543
NGIXM|52093,105449,24887||||||931200,935363,938589
WRXPU|272,66,2170||||||938400,942733,956514
07NCK|3156,3557,95||||||894600,894937,909073
AUZDX|658560,130969,3976,41539||||||898200,901098,906633,911822
GO0K4|66793,436,546||||||937200,939518,941794
KNF0W|5077,604,67||||||882600,881262,890278
6STLG|298846,69751,3976,89929||||||883800,886023,894169,904989
EHOU6|66793,45832,454||||||885600,887981,894743
MAV1A|2905,857,939||||||947400,961238,974165
NOTGV|34948,35067,1374||||||910200,936966,948212
1T81P|154,6574,277||||||941400,944838,967079
RJOXY|5291,5013,6951||||||885000,888717,902989
6VNXN|5077,604,69||||||938400,939134,943022
LVROL|52069,3976,305734||||||927600,933497,940806
UR2WS|715,645,4260||||||869400,871544,888000
88136|155,18387,56||||||890400,901014,923350
1MVL4|296142,54773,3976||||||887400,890634,893254
91DPI|69758,54770,3976,41704||||||877200,891873,895015,902200
DE12W|2589,135,436,45832||||||905400,911889,922904,928393
FU8KX|159322,225485,225482||||||930000,950243,957686
GDLTG|1013,67,997||||||874800,884342,892973
FFKBO|2110,2115,2118,97||||||886200,902785,917716,935356
TJX82|5268,1478,154,155||||||889200,890957,906616,919614
LB254|16244,54773,3976||||||925200,928237,932974
QM1WT|31313,1477,94||||||926400,934594,941374
VDXDF|5250,142841,715||||||867600,878728,886076
0C8JB|8506,153,66||||||871200,880547,888891
6MAUQ|3156,3557,3549||||||900600,901132,906364
HBM1P|270023,130969,3976,298846,3976||||||890400,889669,893002,904867,910153
